GPU_Utilization (%),Power_Consumption (kW),Machine_Temperature (°C),Ambient_Temperature (°C),Humidity (%),Season,Active_Servers,Cooling_Method,Water_Consumption (L/hr)
83,107,78,34,36,Summer,61,Evaporative,600
54,100,62,29,48,Spring,35,Liquid,600
84,112,83,38,44,Summer,73,Evaporative,600
88,122,82,39,42,Summer,73,Evaporative,600
62,100,66,29,46,Autumn,40,Liquid,600
83,100,78,37,39,Summer,61,Liquid,600
85,112,88,38,39,Summer,77,Evaporative,600
43,100,49,24,61,Winter,22,Air,429
56,100,68,32,72,Monsoon,47,Liquid,600
95,103,85,39,44,Summer,71,Evaporative,600
83,100,80,37,45,Summer,60,Liquid,600
89,100,79,36,43,Summer,66,Evaporative,600
74,100,72,32,80,Monsoon,53,Liquid,600
46,100,58,26,50,Autumn,27,Air,554
61,100,64,30,55,Autumn,40,Liquid,600
80,109,80,36,42,Summer,62,Liquid,600
89,100,84,37,34,Summer,77,Evaporative,600
71,105,79,31,80,Monsoon,57,Evaporative,600
97,128,84,38,38,Summer,82,Evaporative,600
92,117,90,40,31,Summer,85,Evaporative,600
56,100,70,29,71,Monsoon,41,Liquid,600
60,100,70,32,47,Autumn,49,Liquid,600
61,100,67,32,54,Spring,48,Liquid,600
83,113,86,41,41,Summer,76,Evaporative,600
37,100,46,22,53,Winter,20,Air,366
70,100,66,31,76,Monsoon,43,Liquid,600
56,100,61,26,67,Monsoon,36,Air,600
67,100,72,30,81,Monsoon,50,Liquid,600
78,100,74,32,47,Summer,58,Liquid,600
78,100,74,33,78,Monsoon,48,Liquid,600
62,100,65,30,48,Autumn,39,Liquid,600
86,108,75,34,80,Monsoon,57,Evaporative,600
51,100,54,26,58,Autumn,26,Air,515
61,100,66,28,79,Monsoon,43,Liquid,600
95,107,88,38,38,Summer,87,Evaporative,600
84,101,77,32,82,Monsoon,57,Evaporative,600
53,100,62,29,58,Spring,32,Air,600
49,100,62,26,73,Monsoon,34,Air,600
68,100,70,31,72,Monsoon,44,Liquid,600
99,114,88,38,38,Summer,79,Evaporative,600
46,100,55,26,57,Autumn,29,Air,562
58,100,69,32,44,Spring,46,Liquid,600
91,131,89,39,30,Summer,88,Evaporative,600
84,122,86,39,43,Summer,73,Evaporative,600
55,100,63,28,52,Autumn,39,Liquid,600
86,122,88,39,37,Summer,81,Evaporative,600
46,100,56,25,55,Winter,22,Air,466
77,100,71,30,83,Monsoon,47,Liquid,600
42,100,57,27,57,Autumn,25,Air,525
65,100,67,32,54,Spring,44,Liquid,600
67,100,69,32,46,Autumn,46,Liquid,600
60,100,69,30,44,Autumn,48,Liquid,600
61,100,66,26,46,Autumn,41,Liquid,600
66,100,69,33,46,Summer,47,Liquid,600
90,104,81,39,36,Summer,70,Evaporative,600
86,116,86,39,36,Summer,76,Evaporative,600
85,100,78,38,39,Summer,58,Liquid,600
43,100,55,22,57,Winter,28,Air,476
56,100,65,31,45,Spring,38,Liquid,600
36,100,51,22,57,Winter,17,Air,423
80,100,80,37,42,Summer,58,Evaporative,600
80,100,80,38,47,Summer,61,Evaporative,600
62,100,63,29,54,Spring,38,Liquid,600
60,100,64,31,77,Monsoon,40,Air,600
95,100,85,40,37,Summer,70,Evaporative,600
61,100,66,27,47,Spring,40,Liquid,600
70,100,77,34,79,Monsoon,61,Evaporative,600
48,100,54,26,58,Winter,25,Air,484
64,100,70,29,48,Summer,48,Liquid,600
56,100,61,27,51,Spring,33,Air,600
69,100,66,27,56,Autumn,44,Liquid,600
42,100,52,23,53,Winter,26,Air,479
57,100,69,28,74,Monsoon,42,Liquid,600
84,105,85,37,33,Summer,78,Evaporative,600
68,100,65,28,79,Monsoon,42,Liquid,600
57,100,62,31,67,Monsoon,39,Air,600
67,100,72,33,41,Summer,51,Liquid,600
61,100,69,33,53,Summer,44,Liquid,600
85,100,79,35,40,Summer,68,Evaporative,600
69,100,69,28,44,Spring,46,Liquid,600
79,113,81,36,39,Summer,70,Evaporative,600
64,100,69,30,74,Monsoon,44,Liquid,600
64,100,67,27,51,Autumn,43,Liquid,600
78,103,73,35,41,Summer,55,Liquid,600
81,105,83,35,43,Summer,68,Evaporative,600
100,114,90,38,39,Summer,82,Evaporative,600
45,100,58,27,57,Spring,32,Air,600
57,100,58,28,61,Spring,33,Air,600
77,104,83,36,41,Summer,70,Evaporative,600
45,100,61,28,57,Spring,27,Air,600
78,100,71,32,48,Summer,52,Liquid,600
72,100,81,35,41,Summer,59,Evaporative,600
73,100,75,32,44,Summer,57,Liquid,600
56,100,65,27,53,Spring,39,Liquid,600
67,100,68,28,44,Spring,48,Liquid,600
70,100,68,32,76,Monsoon,44,Liquid,600
38,100,57,26,58,Autumn,27,Air,504
96,100,84,38,38,Summer,70,Evaporative,600
52,100,66,29,45,Autumn,41,Liquid,600
90,106,83,39,44,Summer,69,Evaporative,600
82,106,78,34,83,Monsoon,57,Evaporative,600
77,100,78,36,41,Summer,64,Evaporative,600
82,127,86,39,43,Summer,76,Evaporative,600
48,100,50,22,60,Winter,23,Air,432
77,114,82,39,44,Summer,65,Evaporative,600
66,100,67,29,50,Spring,46,Liquid,600
39,100,52,22,53,Winter,22,Air,466
90,116,81,40,39,Summer,73,Evaporative,600
53,100,62,27,51,Spring,30,Air,600
68,100,70,30,76,Monsoon,51,Liquid,600
65,100,69,29,49,Spring,48,Liquid,600
72,100,69,32,53,Spring,46,Liquid,600
91,127,87,39,37,Summer,84,Evaporative,600
41,100,57,25,50,Autumn,31,Air,556
54,100,61,25,54,Spring,36,Air,600
98,121,84,41,35,Summer,79,Evaporative,600
59,100,64,28,71,Monsoon,40,Air,600
63,100,61,30,75,Monsoon,32,Air,600
45,100,50,21,64,Winter,17,Air,434
77,100,71,32,45,Summer,50,Liquid,600
49,100,57,25,49,Autumn,29,Air,536
76,100,68,29,46,Autumn,45,Liquid,600
68,100,66,27,54,Autumn,40,Liquid,600
57,100,66,30,76,Monsoon,45,Liquid,600
80,110,82,39,34,Summer,73,Evaporative,600
82,100,81,35,45,Summer,64,Evaporative,600
54,100,59,25,58,Spring,31,Air,600
76,100,78,34,43,Summer,61,Evaporative,600
83,100,76,35,43,Summer,60,Liquid,600
36,100,50,20,56,Winter,17,Air,377
59,100,69,32,76,Monsoon,47,Liquid,600
79,100,73,33,42,Summer,52,Liquid,600
61,100,68,30,44,Autumn,47,Liquid,600
92,124,82,38,34,Summer,73,Evaporative,600
28,100,48,20,54,Winter,16,Air,375
43,100,61,25,52,Spring,30,Air,600
64,100,69,29,77,Monsoon,44,Liquid,600
82,104,82,38,39,Summer,68,Evaporative,600
56,100,64,28,47,Spring,41,Liquid,600
81,100,80,36,47,Summer,62,Evaporative,600
77,102,79,35,78,Monsoon,55,Evaporative,600
80,100,75,33,78,Monsoon,54,Evaporative,600
80,100,81,35,42,Summer,58,Evaporative,600
63,100,72,33,75,Monsoon,50,Liquid,600
92,116,85,36,34,Summer,74,Evaporative,600
57,100,58,26,50,Spring,27,Air,600
37,100,51,25,55,Winter,22,Air,440
72,100,77,32,43,Summer,55,Liquid,600
45,100,60,28,48,Spring,30,Air,600
55,100,56,25,56,Autumn,30,Air,566
52,100,62,29,46,Spring,40,Liquid,600
54,100,55,28,54,Autumn,31,Air,543
37,100,50,25,56,Winter,19,Air,402
79,103,79,38,44,Summer,64,Evaporative,600
92,106,89,42,37,Summer,87,Evaporative,600
79,100,80,36,39,Summer,63,Evaporative,600
76,100,79,36,42,Summer,61,Evaporative,600
80,100,78,34,38,Summer,59,Liquid,600
65,100,64,31,45,Spring,38,Liquid,600
67,100,69,32,77,Monsoon,42,Liquid,600
71,100,67,31,47,Spring,49,Liquid,600
84,107,83,39,34,Summer,70,Evaporative,600
40,100,52,26,58,Winter,27,Air,485
91,118,86,37,37,Summer,74,Evaporative,600
52,100,65,29,69,Monsoon,40,Air,600
71,100,76,32,46,Summer,52,Liquid,600
53,100,64,28,52,Spring,35,Liquid,600
56,100,66,27,48,Autumn,41,Liquid,600
68,100,74,36,44,Summer,53,Liquid,600
74,110,80,36,45,Summer,60,Evaporative,600
74,100,76,32,80,Monsoon,56,Evaporative,600
49,100,60,27,56,Spring,27,Air,600
89,122,86,40,33,Summer,83,Evaporative,600
58,100,60,28,74,Monsoon,35,Air,600
59,100,65,27,51,Spring,39,Liquid,600
62,100,70,31,73,Monsoon,45,Liquid,600
32,100,46,22,55,Winter,17,Air,362
44,100,56,22,50,Winter,25,Air,473
96,114,84,41,43,Summer,78,Evaporative,600
72,100,74,30,77,Monsoon,53,Liquid,600
53,100,65,30,51,Autumn,40,Liquid,600
61,100,62,26,65,Monsoon,38,Air,600
50,100,56,22,58,Winter,24,Air,467
47,100,54,25,55,Winter,26,Air,499
55,100,57,26,47,Spring,30,Air,600
63,100,64,27,48,Spring,39,Liquid,600
47,100,57,26,55,Autumn,31,Air,547
67,100,66,31,74,Monsoon,42,Liquid,600
57,100,61,29,70,Monsoon,40,Air,600
65,100,72,29,45,Autumn,47,Liquid,600
52,100,66,28,54,Spring,41,Liquid,600
100,132,90,39,33,Summer,86,Evaporative,600
71,100,81,34,38,Summer,60,Evaporative,600
97,112,83,38,33,Summer,73,Evaporative,600
71,100,66,32,44,Summer,42,Liquid,600
65,100,74,31,77,Monsoon,47,Liquid,600
34,100,50,24,58,Winter,21,Air,364
36,100,46,22,58,Winter,21,Air,389
74,100,70,30,82,Monsoon,52,Liquid,600
55,100,64,29,74,Monsoon,37,Air,600
55,100,65,27,53,Spring,41,Liquid,600
53,100,56,24,49,Autumn,25,Air,541
83,111,79,37,40,Summer,58,Evaporative,600
90,107,83,38,41,Summer,75,Evaporative,600
67,100,70,32,71,Monsoon,44,Liquid,600
74,100,80,36,44,Summer,64,Evaporative,600
36,100,47,21,59,Winter,21,Air,364
84,127,85,41,31,Summer,79,Evaporative,600
72,100,71,32,43,Summer,52,Liquid,600
63,100,67,30,49,Autumn,39,Liquid,600
75,100,74,32,44,Summer,55,Liquid,600
67,100,70,33,81,Monsoon,47,Liquid,600
59,100,66,29,52,Autumn,42,Liquid,600
62,100,68,30,51,Spring,43,Liquid,600
89,118,89,39,40,Summer,87,Evaporative,600
63,100,68,30,74,Monsoon,41,Liquid,600
42,100,57,27,56,Autumn,30,Air,579
70,100,68,32,51,Autumn,51,Liquid,600
87,100,83,35,37,Summer,71,Evaporative,600
72,100,80,34,46,Summer,57,Liquid,600
74,100,74,33,83,Monsoon,52,Liquid,600
68,100,66,30,52,Autumn,41,Liquid,600
46,100,48,21,60,Winter,22,Air,414
57,100,68,28,78,Monsoon,42,Liquid,600
56,100,67,30,72,Monsoon,41,Liquid,600
63,100,61,29,76,Monsoon,35,Air,600
33,100,50,24,55,Winter,21,Air,369
44,100,56,24,49,Autumn,31,Air,572
81,112,79,33,44,Summer,60,Evaporative,600
78,100,74,33,82,Monsoon,60,Evaporative,600
75,100,71,34,50,Summer,50,Liquid,600
56,100,58,26,51,Spring,36,Air,600
50,100,61,28,57,Spring,30,Air,600
57,100,69,30,79,Monsoon,44,Liquid,600
54,100,62,26,55,Spring,36,Air,600
38,100,55,23,54,Winter,26,Air,488
87,104,79,37,36,Summer,66,Evaporative,600
89,125,85,37,35,Summer,70,Evaporative,600
91,124,84,40,40,Summer,77,Evaporative,600
90,115,89,42,39,Summer,88,Evaporative,600
73,100,70,34,84,Monsoon,53,Liquid,600
42,100,58,24,52,Autumn,30,Air,571
59,100,68,30,45,Summer,44,Liquid,600
98,124,83,38,40,Summer,74,Evaporative,600
88,100,81,35,42,Summer,64,Evaporative,600
86,100,83,36,40,Summer,71,Evaporative,600
90,122,86,38,39,Summer,77,Evaporative,600
74,100,70,31,52,Spring,49,Liquid,600
88,104,79,37,41,Summer,68,Evaporative,600
52,100,66,27,46,Autumn,38,Liquid,600
36,100,49,21,61,Winter,21,Air,424
51,100,56,27,59,Autumn,28,Air,563
47,100,62,28,51,Spring,32,Air,600
99,130,88,41,36,Summer,82,Evaporative,600
75,100,77,34,43,Summer,58,Liquid,600
81,100,78,37,38,Summer,59,Liquid,600
52,100,62,28,51,Spring,36,Air,600
82,100,82,39,39,Summer,65,Evaporative,600
59,100,70,30,51,Summer,46,Liquid,600
50,100,62,27,67,Monsoon,33,Air,600
89,101,80,36,40,Summer,60,Evaporative,600
57,100,66,30,50,Autumn,41,Liquid,600
93,111,83,35,38,Summer,70,Evaporative,600
91,106,83,38,41,Summer,75,Evaporative,600
85,112,76,35,44,Summer,61,Liquid,600
60,100,68,31,45,Summer,44,Liquid,600
34,100,53,23,52,Winter,24,Air,485
43,100,57,29,48,Spring,27,Air,600
89,100,85,37,44,Summer,69,Evaporative,600
78,100,76,33,78,Monsoon,58,Evaporative,600
53,100,60,28,51,Spring,32,Air,600
73,100,71,30,81,Monsoon,52,Liquid,600
90,113,80,35,42,Summer,69,Evaporative,600
65,100,65,28,53,Autumn,41,Liquid,600
75,100,80,34,41,Summer,65,Evaporative,600
73,101,76,32,40,Summer,53,Liquid,600
39,100,49,20,62,Winter,19,Air,398
70,100,75,33,83,Monsoon,59,Evaporative,600
38,100,48,21,58,Winter,18,Air,383
53,100,62,25,58,Spring,30,Air,600
75,104,77,35,44,Summer,60,Liquid,600
87,100,77,37,45,Summer,62,Evaporative,600
82,103,78,35,46,Summer,60,Evaporative,600
52,100,65,28,51,Autumn,42,Liquid,600
47,100,54,22,59,Winter,26,Air,463
74,103,79,37,36,Summer,66,Evaporative,600
49,100,59,26,57,Spring,30,Air,600
59,100,64,28,47,Spring,40,Liquid,600
68,100,64,29,53,Autumn,39,Liquid,600
66,100,74,34,42,Summer,51,Liquid,600
60,100,65,29,46,Autumn,43,Liquid,600
78,100,79,34,48,Summer,63,Evaporative,600
45,100,53,26,56,Autumn,24,Air,512
62,100,66,26,49,Autumn,38,Liquid,600
86,107,83,36,41,Summer,65,Evaporative,600
63,100,66,33,79,Monsoon,44,Liquid,600
90,105,81,38,35,Summer,66,Evaporative,600
86,126,82,41,40,Summer,76,Evaporative,600
93,103,82,38,43,Summer,67,Evaporative,600
69,100,70,33,76,Monsoon,52,Liquid,600
68,100,68,28,54,Spring,49,Liquid,600
49,100,62,27,59,Spring,32,Air,600
73,101,76,36,45,Summer,58,Liquid,600
93,111,89,40,37,Summer,88,Evaporative,600
78,100,74,33,44,Summer,52,Liquid,600
41,100,54,26,58,Autumn,28,Air,549
69,100,70,31,49,Spring,46,Liquid,600
52,100,61,28,53,Spring,36,Air,600
73,100,71,32,51,Spring,45,Liquid,600
95,125,84,37,33,Summer,82,Evaporative,600
51,100,63,29,69,Monsoon,34,Air,600
84,100,75,33,85,Monsoon,55,Evaporative,600
64,100,69,32,51,Summer,45,Liquid,600
35,100,48,22,63,Winter,16,Air,384
